ID,Vote09,Vote10
1,棄権,棄権
2,民主,民主
3,民主,民主
4,自民,民主
5,自民,共産・社民
6,民主,共産・社民
7,その他,その他
8,自民,自民
9,民主,民主
10,共産・社民,共産・社民
11,棄権,自民
12,自民,民主
13,棄権,棄権
14,自民,自民
15,共産・社民,共産・社民
16,DK,共産・社民
17,自民,DK
18,民主,民主
19,民主,民主
20,民主,民主
21,自民,民主
22,DK,民主
23,棄権,自民
24,DK,民主
25,公明,公明
26,DK,公明
27,公明,公明
28,自民,自民
29,自民,自民
30,DK,DK
31,棄権,棄権
32,民主,民主
33,棄権,棄権
34,棄権,棄権
35,棄権,棄権
36,民主,民主
37,その他,民主
38,その他,DK
39,棄権,棄権
40,棄権,棄権
41,民主,民主
42,民主,民主
43,その他,民主
44,DK,自民
45,自民,自民
46,棄権,DK
47,民主,民主
48,民主,民主
49,棄権,棄権
50,棄権,棄権
51,DK,DK
52,公明,公明
53,民主,民主
54,自民,自民
55,自民,自民
56,その他,その他
57,自民,自民
58,DK,民主
59,自民,棄権
60,その他,その他
61,民主,民主
62,自民,自民
63,その他,民主
64,自民,自民
65,民主,民主
66,DK,DK
67,民主,民主
68,棄権,棄権
69,棄権,棄権
70,共産・社民,共産・社民
71,民主,民主
72,民主,民主
73,民主,民主
74,公明,民主
75,民主,民主
76,DK,DK
77,DK,棄権
78,民主,民主
79,棄権,棄権
80,共産・社民,自民
81,その他,民主
82,民主,棄権
83,自民,棄権
84,民主,民主
85,民主,自民
86,棄権,棄権
87,その他,民主
88,民主,民主
89,公明,公明
90,公明,公明
91,自民,自民
92,自民,自民
93,棄権,共産・社民
94,棄権,棄権
95,民主,民主
96,DK,棄権
97,棄権,自民
98,DK,民主
99,棄権,棄権
100,自民,民主
101,その他,民主
102,民主,民主
103,民主,その他
104,民主,民主
105,棄権,民主
106,自民,民主
107,民主,民主
108,その他,DK
109,民主,民主
110,自民,自民
111,その他,自民
112,DK,民主
113,民主,民主
114,民主,民主
115,棄権,民主
116,民主,民主
117,公明,自民
118,民主,民主
119,自民,民主
120,民主,民主
121,民主,その他
122,その他,その他
123,自民,自民
124,DK,自民
125,自民,自民
126,共産・社民,DK
127,その他,民主
128,自民,自民
129,自民,自民
130,民主,民主
131,公明,公明
132,棄権,棄権
133,民主,民主
134,公明,公明
135,共産・社民,共産・社民
136,棄権,棄権
137,棄権,棄権
138,自民,民主
139,棄権,棄権
140,棄権,棄権
141,共産・社民,共産・社民
142,民主,民主
143,民主,民主
144,その他,民主
145,公明,公明
146,自民,自民
147,棄権,民主
148,棄権,棄権
149,民主,民主
150,その他,民主
151,民主,民主
152,共産・社民,棄権
153,自民,自民
154,自民,自民
155,棄権,民主
156,棄権,棄権
157,その他,その他
158,民主,民主
159,民主,民主
160,その他,その他
161,民主,DK
162,自民,自民
163,民主,民主
164,民主,民主
165,自民,棄権
166,民主,棄権
167,自民,自民
168,棄権,棄権
169,民主,自民
170,自民,民主
171,民主,民主
172,公明,公明
173,民主,民主
174,民主,民主
175,棄権,民主
176,民主,棄権
177,自民,自民
178,その他,民主
179,民主,共産・社民
180,棄権,棄権
181,DK,民主
182,自民,自民
183,民主,民主
184,民主,民主
185,自民,自民
186,棄権,自民
187,棄権,民主
188,民主,民主
189,自民,自民
190,自民,自民
191,棄権,棄権
192,自民,自民
193,民主,民主
194,棄権,棄権
195,自民,民主
196,民主,民主
197,自民,民主
198,民主,民主
199,民主,民主
200,自民,民主
201,DK,公明
202,民主,自民
203,自民,民主
204,公明,棄権
205,民主,民主
206,自民,自民
207,その他,その他
208,自民,自民
209,自民,民主
210,DK,自民
211,棄権,棄権
212,共産・社民,共産・社民
213,公明,公明
214,DK,棄権
215,民主,民主
216,その他,自民
217,民主,民主
218,DK,民主
219,棄権,民主
220,自民,自民
221,民主,民主
222,その他,民主
223,棄権,棄権
224,自民,自民
225,棄権,棄権
226,自民,民主
227,その他,自民
228,棄権,棄権
229,自民,棄権
230,民主,民主
231,民主,民主
232,自民,民主
233,DK,DK
234,棄権,棄権
235,民主,民主
236,DK,民主
237,民主,民主
238,自民,自民
239,自民,自民
240,自民,民主
241,棄権,棄権
242,民主,民主
243,棄権,自民
244,その他,民主
245,民主,自民
246,民主,民主
247,その他,棄権
248,民主,公明
249,民主,民主
250,公明,公明
251,DK,棄権
252,棄権,自民
253,民主,民主
254,自民,自民
255,棄権,民主
256,棄権,棄権
257,自民,自民
258,自民,自民
259,自民,自民
260,自民,自民
261,棄権,棄権
262,民主,DK
263,棄権,民主
264,民主,民主
265,民主,民主
266,棄権,自民
267,公明,公明
268,自民,棄権
269,DK,DK
270,自民,棄権
271,棄権,棄権
272,民主,民主
273,DK,民主
274,共産・社民,共産・社民
275,共産・社民,棄権
276,棄権,棄権
277,民主,民主
278,自民,自民
279,棄権,民主
280,共産・社民,共産・社民
281,公明,公明
282,棄権,その他
283,民主,民主
284,DK,DK
285,自民,自民
286,民主,民主
287,その他,民主
288,民主,民主
289,DK,民主
290,民主,自民
291,民主,民主
292,民主,民主
293,棄権,棄権
294,民主,民主
295,棄権,DK
296,民主,棄権
297,自民,自民
298,棄権,棄権
299,その他,棄権
300,自民,自民
301,自民,自民
302,民主,民主
303,民主,民主
304,民主,民主
305,DK,民主
306,自民,自民
307,自民,自民
308,自民,自民
309,その他,その他
310,民主,民主
311,DK,民主
312,共産・社民,共産・社民
313,民主,民主
314,民主,民主
315,民主,民主
316,自民,自民
317,棄権,棄権
318,棄権,民主
319,自民,自民
320,民主,民主
321,その他,その他
322,DK,棄権
323,民主,民主
324,棄権,棄権
325,民主,民主
326,民主,民主
327,自民,自民
328,民主,民主
329,その他,その他
330,棄権,民主
331,民主,民主
332,自民,自民
333,DK,民主
334,民主,民主
335,DK,棄権
336,棄権,棄権
337,棄権,棄権
338,その他,その他
339,民主,民主
340,その他,自民
341,自民,棄権
342,棄権,民主
343,自民,DK
344,DK,自民
345,その他,その他
346,民主,民主
347,共産・社民,共産・社民
348,民主,民主
349,自民,自民
350,その他,自民
351,民主,民主
352,民主,民主
353,民主,棄権
354,自民,自民
355,自民,自民
356,民主,自民
357,棄権,民主
358,棄権,棄権
359,民主,民主
360,DK,自民
361,棄権,棄権
362,共産・社民,共産・社民
363,公明,棄権
364,棄権,棄権
365,民主,DK
366,民主,民主
367,公明,棄権
368,民主,民主
369,その他,その他
370,民主,民主
371,民主,民主
372,民主,民主
373,その他,民主
374,民主,民主
375,棄権,棄権
376,DK,民主
377,DK,民主
378,民主,民主
379,民主,民主
380,民主,民主
381,棄権,民主
382,棄権,自民
383,共産・社民,民主
384,自民,民主
385,棄権,DK
386,その他,共産・社民
387,その他,民主
388,自民,民主
389,共産・社民,DK
390,棄権,棄権
391,棄権,共産・社民
392,民主,民主
393,自民,DK
394,DK,共産・社民
395,自民,民主
396,DK,棄権
397,民主,民主
398,民主,民主
399,DK,民主
400,棄権,棄権
401,民主,民主
402,その他,民主
403,民主,民主
404,自民,民主
405,その他,民主
406,民主,民主
407,棄権,棄権
408,棄権,棄権
409,DK,DK
410,自民,自民
411,共産・社民,民主
412,DK,DK
413,民主,民主
414,DK,DK
415,その他,民主
416,その他,その他
417,その他,その他
418,棄権,棄権
419,民主,DK
420,その他,民主
421,自民,民主
422,共産・社民,民主
423,共産・社民,共産・社民
424,民主,民主
425,DK,DK
426,民主,DK
427,民主,民主
428,その他,民主
429,棄権,棄権
430,民主,民主
431,棄権,民主
432,民主,民主
433,民主,民主
434,その他,自民
435,棄権,棄権
436,自民,自民
437,公明,公明
438,民主,自民
439,民主,民主
440,民主,民主
441,DK,民主
442,民主,民主
443,民主,民主
444,民主,民主
445,DK,DK
446,自民,自民
447,その他,民主
448,民主,民主
449,DK,棄権
450,その他,民主
451,民主,民主
452,その他,その他
453,民主,民主
454,民主,自民
455,民主,民主
456,民主,民主
457,公明,公明
458,民主,民主
459,その他,棄権
460,棄権,棄権
461,棄権,棄権
462,DK,民主
463,棄権,棄権
464,民主,民主
465,公明,共産・社民
466,民主,民主
467,棄権,民主
468,棄権,棄権
469,DK,民主
470,自民,自民
471,民主,民主
472,公明,公明
473,民主,DK
474,民主,民主
475,公明,公明
476,民主,民主
477,DK,棄権
478,DK,DK
479,民主,民主
480,自民,自民
481,民主,民主
482,自民,民主
483,棄権,棄権
484,民主,民主
485,棄権,共産・社民
486,民主,民主
487,棄権,民主
488,自民,自民
489,自民,自民
490,民主,民主
491,民主,民主
492,DK,DK
493,民主,民主
494,棄権,民主
495,共産・社民,共産・社民
496,棄権,DK
497,自民,自民
498,公明,自民
499,自民,棄権
500,棄権,民主
501,棄権,棄権
502,棄権,民主
503,棄権,DK
504,自民,自民
505,民主,民主
506,民主,民主
507,DK,民主
508,DK,DK
509,自民,民主
510,棄権,DK
511,DK,民主
512,民主,民主
513,DK,共産・社民
514,民主,民主
515,自民,DK
516,その他,自民
517,棄権,棄権
518,公明,民主
519,棄権,自民
520,棄権,民主
521,DK,民主
522,民主,民主
523,DK,自民
524,棄権,棄権
525,DK,民主
526,民主,民主
527,DK,公明
528,棄権,民主
529,自民,その他
530,共産・社民,共産・社民
531,民主,民主
532,民主,民主
533,民主,民主
534,民主,民主
535,自民,自民
536,棄権,棄権
537,その他,その他
538,民主,民主
539,棄権,民主
540,棄権,民主
541,棄権,民主
542,自民,自民
543,民主,民主
544,棄権,棄権
545,民主,民主
546,民主,民主
547,自民,自民
548,その他,その他
549,棄権,棄権
550,民主,民主
551,その他,民主
552,公明,公明
553,その他,自民
554,共産・社民,共産・社民
555,民主,民主
556,棄権,棄権
557,民主,民主
558,自民,自民
559,DK,棄権
560,棄権,棄権
561,DK,DK
562,その他,その他
563,民主,民主
564,共産・社民,共産・社民
565,自民,自民
566,民主,民主
567,DK,民主
568,公明,公明
569,その他,民主
570,民主,自民
571,棄権,棄権
572,民主,民主
573,民主,民主
574,自民,自民
575,棄権,民主
576,共産・社民,共産・社民
577,公明,公明
578,棄権,民主
579,民主,民主
580,自民,民主
581,DK,DK
582,民主,民主
583,DK,棄権
584,自民,その他
585,民主,民主
586,民主,民主
587,自民,自民
588,自民,自民
589,その他,その他
590,自民,自民
591,民主,民主
592,自民,自民
593,自民,自民
594,自民,自民
595,自民,その他
596,民主,民主
597,自民,民主
598,民主,民主
599,自民,自民
600,自民,棄権
601,民主,民主
602,その他,民主
603,DK,自民
604,自民,自民
605,自民,自民
606,民主,民主
607,自民,自民
608,その他,共産・社民
609,民主,民主
610,自民,民主
611,民主,民主
612,自民,民主
613,民主,民主
614,自民,民主
615,その他,民主
616,民主,共産・社民
617,民主,棄権
618,民主,民主
619,棄権,民主
620,自民,民主
621,DK,その他
622,民主,民主
623,自民,自民
624,自民,民主
625,民主,民主
626,自民,民主
627,その他,民主
628,自民,自民
629,DK,DK
630,その他,DK
631,その他,民主
632,DK,共産・社民
633,民主,民主
634,棄権,DK
635,自民,棄権
636,棄権,棄権
637,棄権,棄権
638,民主,民主
639,民主,民主
640,DK,DK
641,自民,自民
642,民主,民主
643,民主,民主
644,共産・社民,共産・社民
645,民主,民主
646,DK,DK
647,DK,棄権
648,民主,民主
649,民主,民主
650,その他,共産・社民
651,自民,自民
652,民主,民主
653,自民,自民
654,棄権,棄権
655,民主,民主
656,その他,民主
657,DK,DK
658,その他,民主
659,DK,民主
660,民主,民主
661,DK,民主
